"",IUCN Red
Date last recorded in Scientific name Common name,Year of List (2017-1)
"",the wildCategoryAssessment
"",IUCN Red,
"",Atelopus podocarpus,,CR(PE),2012,1994
"",Atelopus sernai,,CR(PE),2004,2000
"",Atelopus simulatus,,CR(PE),2014,2003
"",Atelopus sorianoi,Cloud Forest Stubfoot Toad,CR(PE),2004,1990
"",Bokermannohyla izecksohni,,CR(PE),2004,?
"",Bradytriton silus,Finca Chiblac Salamander,CR(PE),2008,1976
"",Bromeliohyla dendroscarta,Greater Bromeliad Treefrog,CR(PE),2004,1974
"",Centrolene heloderma,Pichincha Giant Glass Frog,CR(PE),2004,1996
"",Charadrahyla altipotens,Yellow-bellied Voiceless Treefrog,CR(PE),2004,1960s
"",Charadrahyla trux,Spine-fingered Treefrog,CR(PE),2004,?
"",Chiropterotriton magnipes,Big-footed Salamander,CR(PE),2008,?
"",Colostethus jacobuspetersi,,CR(PE),2004,1960s
"",Conraua derooi,Togo Slippery Frog,CR(PE),2004,?
"",Craugastor anciano,Corquin Robber Frog,CR(PE),2004,?
"",Craugastor angelicus,Angel Robber Frog,CR(PE),2008,1994
"",Craugastor coffeus,,CR(PE),2004,?
"",Craugastor cruzi,Cruz Robber Frog,CR(PE),2004,1988
"",Craugastor emleni,,CR(PE),2004,1985
"",Craugastor fecundus,,CR(PE),2004,?
Craugastor gulosus,,CR(PE),2013,1983,
"",Scientific name,Common name,"IUCN RedList (2017-1)Category","Year ofAssessment","Date last recorded inthe wild"
"",Craugastor obesus,,CR(PE),2013,1984
"",Craugastor olanchano,,CR(PE),2004,?
"",Craugastor omoaensis,,CR(PE),2004,?
"",Craugastor polymniae,Sierra Juarez Robber Frog,CR(PE),2004,1983
"",Craugastor stadelmani,,CR(PE),2004,1993
"",Craugastor trachydermus,,CR(PE),2004,?
"",Ecnomiohyla echinata,Oaxacan Fringe-limbed Treefrog,CR(PE),2004,1962
"",Eleutherodactylus eneidae,Villalba Robber Frog,CR(PE),2008,1990
"",Eleutherodactylus glanduliferoides,La Visite Robber Frog,CR(PE),2008,1985
"",Eleutherodactylus karlschmidti,Karl's Robber Frog,CR(PE),2008,1976 or 1988
"",Eleutherodactylus orcutti,Arntully Robber Frog,CR(PE),2008,mid-1980s
"",Eleutherodactylus schmidti,Schmidt's Robber Frog,CR(PE),2008,mid-1980s
"",Eleutherodactylus semipalmatus,Foothill Robber Frog,CR(PE),2008,1985
"",Gastrotheca lauzuricae,La Siberia Marsupial Frog,CR(PE),2004,1989
"",Holoaden bradei,Itatiaia Highland Frog,CR(PE),2004,1976
"",Hyla heinzsteinitzi,,CR(PE),2008,?
"",Hyla nicefori,,CR(PE),2004,?
"",Hyloscirtus chlorosteus,Parjacti Treefrog,CR(PE),2004,1970s
"",Hyloxalus edwardsi,Edwards' Rocket Frog,CR(PE),2004,1996
"",Hyloxalus ruizi,Ruiz's Rocket Frog,CR(PE),2004,?
"",Hypsiboas cymbalum,,CR(PE),2004,?
"",Incilius fastidiosus,Pico Blanco Toad,CR(PE),2008,?
"",Isthmohyla debilis,Isla Bonita Treefrog,CR(PE),2008,1998
"",Isthmura naucampatepetl,Cofre de Perote Salamander,CR(PE),2008,1981
"",Lithobates omiltemanus,Guerreran Leopard Frog,CR(PE),2004,1978
"",Lithobates pueblae,,CR(PE),2004,?
"",Lithobates tlaloci,Tlaloc's Leopard Frog,CR(PE),2004,1985
"",Litoria castanea,Yellow-spotted Tree Frog,CR(PE),2004,1980
"",Litoria piperata,Peppered Tree Frog,CR(PE),2004,1973
"",Mannophryne neblina,,CR(PE),2004,?
"",Melanophryniscus peritus,,CR(PE),2013,1953
"",Nectophrynoides poyntoni,Poynton's Forest Toad,CR(PE),2014,2003
"",Oedipina paucidentata,El Empalme Worm Salamander,CR(PE),2008,1952
"",Oreobates zongoensis,,CR(PE),2004,1996
"",Parhoplophryne usambarica,Amani Forest Frog,CR(PE),2012,1920s
"",Peltophryne fluviatica,Hispaniolan Crestless Toad,CR(PE),2004,?
"",Philautus jacobsoni,,CR(PE),2004,?
"",Plectrohyla calvicollina,Cerro Pelón Treefrog,CR(PE),2004,1984
"",Plectrohyla celata,Oaxaca Treefrog,CR(PE),2004,1984
"",Plectrohyla cembra,,CR(PE),2006,1993
"",Plectrohyla cyanomma,Blue-eyed Aquatic Treefrog,CR(PE),2009,1980
"",Plectrohyla ephemera,,CR(PE),2006,?
"",Plectrohyla hazelae,Hazel's Treefrog,CR(PE),2004,1984
"",Plectrohyla siopela,Voiceless Treefrog,CR(PE),2009,?
"",Plectrohyla thorectes,Adler's Mottled Treefrog,CR(PE),2004,1984
"",Pristimantis bernali,Argelia Robber Frog,CR(PE),2004,1981
"",Proceratophrys moratoi,Botucatu Escuerzo,CR(PE),2004,1990
"",Prostherapis dunni,,CR(PE),2006,?
"",Pseudoeurycea ahuitzotl,,CR(PE),2008,1960s
"",Pseudoeurycea anitae,,CR(PE),2008,9 August 1976
"",Pseudoeurycea aquatica,Aquatic Salamander,CR(PE),2008,1978
"",Pseudoeurycea tlahcuiloh,,CR(PE),2008,1960s
"",Pseudoeurycea unguidentis,,CR(PE),2009,1976
"",Rhaebo colomai,Carchi Andes Toad,CR(PE),2004,?
"",Rhinella rostrata,,CR(PE),2004,1914
"",Rhinoderma rufum,,CR(PE),2008,1981
"",Scutiger maculatus,Piebald Alpine Toad,CR(PE),2004,1970s
"",Telmatobius cirrhacelis,Loja Water Frog,CR(PE),2008,1981
"",Telmatobius niger,Black Water Frog,CR(PE),2008,1994
"",Telmatobius pefauri,Arico Water Frog,CR(PE),2015,1976
"",Telmatobius vellardi,Vellard's Water Frog,CR(PE),2008,1987
"",Thorius infernalis,Atoyac Minute Salamander,CR(PE),2008,1980s
"",Thorius munificus,,CR(PE),2008,1997
"",Vandijkophrynus amatolicus,Amatola Toad,CR(PE),2010,Before 1998
"",,,,,
"",FISHES,,,,
"",Acanthobrama centisquama,Long-spine Bream,CR(PE),2013,early 20th century
"",Acanthobrama tricolor,Damascus Bream,CR(PE),2013,1980s
"",Acipenser dabryanus,Yangtze Sturgeon,CR(PE),2009,?
"",Acipenser naccarii,Adriatic Sturgeon,CR(PE),2009,?
"",Alosa vistonica,,CR(PE),2006,?
"",Anabarilius qiluensis,,CR(PE),2011,Early 1980s
"",Anabarilius yangzonensis,,CR(PE),2011,?
"",Aphyolebias claudiae,,CR(PE),2014,2003
"",Azurina eupalama,Galápagos Damsel,CR(PE),2008,1980s
"",Balantiocheilos ambusticauda,Siamese Bala-shak,CR(PE),2011,1974
"",Caecocypris basimi,Haditha Cavefish,CR(PE),2013,1983
"",Carcharhinus hemiodon,Pondicherry Shark,CR(PE),2003,1979
"",Cobitis kellei,Diyarbakir Spined Loach,CR(PE),2013,1974
Coregonus hoferi,,CR(PE),2008,1980s,
"",Scientific name,Common name,"IUCN RedList (2017-1)Category","Year ofAssessment","Date last recorded inthe wild"
"",Coregonus reighardi,Shortnose Cisco,CR(PE),1996,1985
"",Cyprinus barbatus,,CR(PE),2011,1982
"",Cyprinus ilishaestomus,,CR(PE),2009,Late 1970s
"",Cyprinus micristius,Dianchi Carp,CR(PE),2008,1980s
"",Cyprinus qionghaiensis,,CR(PE),2007,?
"",Cyprinus yunnanensis,,CR(PE),2009,Late 1970s
"",Fundulopanchax powelli,,CR(PE),2006,?
"",Haplochromis aelocephalus,,CR(PE),2010,1985
"",Haplochromis antleter,,CR(PE),2010,1982
"",Haplochromis apogonoides,,CR(PE),2010,1983
"",Haplochromis argenteus,,CR(PE),2010,1983
"",Haplochromis barbarae,,CR(PE),2010,1985
"",Haplochromis bareli,,CR(PE),2010,1985
"",Haplochromis brownae,,CR(PE),2010,1980
"",Haplochromis cassius,,CR(PE),2010,1986
"",Haplochromis cinctus,,CR(PE),2010,1982
"",Haplochromis cnester,,CR(PE),2010,1983
"",Haplochromis coprologus,,CR(PE),2010,1982
"",Haplochromis crassilabris,,CR(PE),2010,1980
"",Haplochromis crocopeplus,,CR(PE),2010,1985
"",Haplochromis dentex,,CR(PE),2010,1987
"",Haplochromis dichrourus,,CR(PE),2010,1986
"",Haplochromis flavipinnis,,CR(PE),2010,1984
"",Haplochromis granti,,CR(PE),2010,1986
"",Haplochromis guiarti,,CR(PE),2010,1985
"",Haplochromis heusinkveldi,,CR(PE),2010,1985
"",Haplochromis hiatus,,CR(PE),2010,1980
"",Haplochromis iris,,CR(PE),2010,1980
"",Haplochromis ishmaeli,,CR(PE),2010,1991
"",Haplochromis katunzii,,CR(PE),2010,1982
"",Haplochromis longirostris,,CR(PE),2010,1985
"",Haplochromis macrognathus,,CR(PE),2010,1985
"",Haplochromis martini,,CR(PE),2010,1985
"",Haplochromis michaeli,,CR(PE),2010,1985
"",Haplochromis microdon,,CR(PE),2010,1985
"",Haplochromis mylergates,,CR(PE),2010,1983
"",Haplochromis nanoserranus,,CR(PE),2010,1986
"",Haplochromis pancitrinus,,CR(PE),2010,1986
"",Haplochromis parvidens,,CR(PE),2010,1995
"",Haplochromis percoides,,CR(PE),2010,1986
"",Haplochromis perrieri,,CR(PE),2010,1986
"",Haplochromis plutonius,,CR(PE),2010,1980
"",Haplochromis ptistes,,CR(PE),2010,1984
"",Haplochromis pyrrhopteryx,,CR(PE),2010,1983
"",Haplochromis sphex,,CR(PE),2010,1986
"",Haplochromis sulphureus,,CR(PE),2010,1985
"",Haplochromis teegelaari,,CR(PE),2010,1986
"",Haplochromis theliodon,,CR(PE),2010,1993
"",Haplochromis ushindi,,CR(PE),2010,1980
"",Haplochromis victorianus,,CR(PE),2010,1985
"",Haplochromis vonlinnei,,CR(PE),2010,1980
"",Haplochromis xenostoma,,CR(PE),2010,1983
"",Hemibagrus punctatus,Nilgiri Mystus,CR(PE),2010,Late 1990s
"",Hypselobarbus pulchellus,,CR(PE),2011,1870
"",Knipowitschia cameliae,Danube Delta Dwarf Goby,CR(PE),2008,1994
"",Neolissochilus bovanicus,Bovany Barb,CR(PE),2010,1998
"",Pantanodon sp. nov. 'Manombo',,CR(PE),2004,1997
"",Parapsilorhynchus prateri,Deolali Minnow,CR(PE),2010,1937
"",Paraschistura chrysicristinae,Diyarbakır Loach,CR(PE),2014,1970s
"",Poropuntius chonglingchungi,,CR(PE),2011,1980s
"",Psephurus gladius,Chinese Paddlefish,CR(PE),2009,2003
"",Pseudophoxinus sojuchbulagi,Akstafa Spring Roach,CR(PE),2014,1948
"",Pseudophoxinus syriacus,Barada Spring Minnow,CR(PE),2013,2008
"",Pseudoscaphirhynchus fedtschenkoi,Syr-darya Shovelnose Sturgeon,CR(PE),2009,1960s
"",Ptychochromoides betsileanus,Trondo Mainty,CR(PE),2016,1994
"",Puntius deccanensis,Deccan Barb,CR(PE),2010,?
"",Rhizosomichthys totae,Pez Graso,CR(PE),2014,1958
"",Schistura nasifilis,,CR(PE),2010,1936
"",Schistura tenura,,CR(PE),2011,1998
"",Sciaena callaensis,,CR(PE),2009,1966
"",Stiphodon discotorquatus,,CR(PE),2011,1985
"",Systomus compressiformis,,CR(PE),2011,1994
"",Urolophus javanicus,Java Stingaree,CR(PE),2006,mid-19th century
"",Xenoclarias eupogon,Lake Victoria Deepwater Catfish,CR(PE),2006,1987
"",,,,,
"",SPIDERS,,,,
"",Afrogarypus seychellesensis,,CR(PE),2012,1940
"",Biantes parvulus,,CR(PE),2012,1972
"",Euso muehlenbergi,,CR(PE),2012,1975
Gamasomorpha austera,,CR(PE),2012,1892,
"",Scientific name,Common name,"IUCN RedList (2017-1)Category","Year ofAssessment","Date last recorded inthe wild"
"",Holozoster ovalis,,CR(PE),2012,1972
"",Ibalonius lomani,,CR(PE),2012,1972
"",Idioctis intertidalis,,CR(PE),2012,1972
"",Mitraceras crassipalpum,,CR(PE),2012,1972
"",Moneta coercervea,,CR(PE),2012,1972
"",Nesiergus gardineri,,CR(PE),2012,1974
"",Nesiergus halophilus,,CR(PE),2012,1972
"",Paccius quadridentatus,,CR(PE),2012,1892
"",Seychellia lodoiceae,,CR(PE),2012,1972
"",Sitalcicus incertus,,CR(PE),2012,1972
"",Steriphopus lacertosus,,CR(PE),2012,1892
"",Voraptus tenellus,,CR(PE),2012,1972
"",CENTIPEDES,,,,
"",Mecistocephalus cyclops,,CR(PE),2012,1892
"",Mecistocephalus sechellarum,,CR(PE),2012,1972
"",,,,,
"",MILLIPEDES,,,,
"",Diglossosternoides curiosus,,CR(PE),2012,1984
"",Rhinotus albifrons,,CR(PE),2012,1972
"",Spirobolellus simplex,,CR(PE),2012,1951
"",,,,,
"",INSECTS,,,,
"",Acanthothericles bicoloripes,Morogoro Pretty Grasshopper,CR(PE),2014,1939
"",Allaga ambigua,Zanzibar Giant Forest Grasshopper,CR(PE),2013,1898
"",Ameles fasciipennis,Spined Dwarf Mantis,CR(PE),2014,Probably about 1871
"",Andrena labiatula,,CR(PE),2013,1963
"",Anischnansis burtti,Usambara Splendid Grasshopper,CR(PE),2013,1966
"",Anisogomphus solitaris,,CR(PE),2006,1970s
"",Anonconotus apenninigenus,Southern Alpine Bush-cricket,CR(PE),2015,1881
"",Balta crassivenosa,,CR(PE),2007,1908
"",Bombus rubriventris,,CR(PE),2012,1835
"",Chlorocypha jejuna,Togo Jewel,CR(PE),2006,1890s
"",Chromomastax movogovodia,Morogoro Monkey Grasshopper,CR(PE),2014,1934
"",Chromousambilla burtti,Mpwapwa Silent Grasshopper,CR(PE),2014,1947
"",Disparoneura ramajana,,CR(PE),2006,1970s
"",Drepanosticta adami,,CR(PE),2006,1930s
"",Drepanosticta austeni,,CR(PE),2006,1940s
"",Drepanosticta montana,,CR(PE),2006,1930s
"",Drepanosticta submontana,,CR(PE),2006,1930s
"",Enallagma maldivensis,,CR(PE),2007,1902 or earlier
"",Ephippiger camillae,Camilla's Saddle Bush-cricket,CR(PE),2015,1880
"",Eupropacris abbreviata,Kilosa Noble Grasshopper,CR(PE),2013,1926
"",Euschmidtia bidens,Mlingano Monkey Grasshopper,CR(PE),2014,1953
"",Euschmidtia burtti,Burtt's Monkey Grasshopper,CR(PE),2014,1954
"",Euschmidtia dirshi,Dirsh's Monkey Grasshopper,CR(PE),2014,1954
"",Euschmidtia phippsi,Phipps' Monkey Grasshopper,CR(PE),2014,1952
"",Euschmidtia viridifasciata,Dar-es-Salaam Monkey Grasshopper,CR(PE),2014,1964
"",Evergoderes cabrerai,Gran Canaria Bush-cricket,CR(PE),2012,1966
"",Heliogomphus lyratus,,CR(PE),2006,1930s
"",Heliogomphus nietneri,,CR(PE),2006,1870s
"",Heteragrion peregrinum,,CR(PE),2014,1917
"",Holocompsa pusilla,,CR(PE),2007,1908
"",Isophya boldyrevi,Boldyrev's Plump Bush-cricket,CR(PE),2015,1915
"",Italopodisma baccettii,Baccetti's Apennine Grasshopper,CR(PE),2015,1996
"",Macromia flinti,,CR(PE),2006,1970s
"",Megachile cypricola,,CR(PE),2014,1950
"",Megalagrion molokaiense,Molokai Damselfly,CR(PE),2006,1940s
"",Metaleptobasis gibbosa,,CR(PE),2014,2005
"",Nomada siciliensis,,CR(PE),2014,1885
"",Orthetrum rubens,Elusive Skimmer,CR(PE),2011,1977
"",Palaemnema edmondi,,CR(PE),2014,1917
"",Peringueyella zulu,Zulu Ambush Katydid,CR(PE),2014,1922
"",Perissolestes remus,,CR(PE),2014,1941
"",Pieris wollastoni,Madeiran Large White,CR(PE),2009,1970s
"",Procytettix fusiformis,Seychelles Shortwinged Groundhopper,CR(PE),2007,1909
"",Rhacocleis trilobata,Three-lobed Bush-cricket,CR(PE),2015,1973
"",Sliferia similis,,CR(PE),2007,1908
"",Theganopteryx grisea,,CR(PE),2007,1909
"",Theganopteryx liturata,,CR(PE),2007,1908
"",Theganopteryx scotti,,CR(PE),2007,1908
"",Thoracistus peringueyi,Peringuey's Seedpod Shieldback,CR(PE),2014,1879
"",Uromenus riggioi,Riggio's Saddle Bush-cricket,CR(PE),2015,1970
"",,,,,
"",CRUSTACEANS,,,,
"",Atya brachyrhinus,,CR(PE),2012,1972
"",Cambarellus areolatus,,CR(PE),2010,?
"",Cambarus veitchorum,White Spring Cave Crayfish,CR(PE),2010,1968
Caridina apodosis,,CR(PE),2011,1944,
"",Scientific name,Common name,"IUCN RedList (2017-1)Category","Year ofAssessment","Date last recorded inthe wild"
"",Caridina yilong,,CR(PE),2012,1983
"",Cryphiops luscus,,CR(PE),2012,1986
"",Macrobrachium denticulatum,,CR(PE),2012,1995
"",Macrobrachium oxyphilus,,CR(PE),2011,before 2003
"",Macrobrachium purpureamanus,,CR(PE),2012,before 1998
"",Macrobrachium scorteccii,,CR(PE),2012,1957
"",Palaemonetes cummingi,Florida Cave Shrimp,CR(PE),2012,1973
"",Perbrinckia gabadagei,,CR(PE),2008,1996
"",Procambarus delicatus,Big-cheeked Cave Crayfish,CR(PE),2010,1976
"",Procambarus paradoxus,,CR(PE),2010,1900s
"",Sinodina acutipoda,,CR(PE),2012,?
"",Strengeriana antioquensis,,CR(PE),2008,?
"",Tehuana veracruzana,,CR(PE),2008,?
"",,,,,
"",CORALS,,,,
"",Rhizopsammia wellingtoni,Wellington's Solitary Coral,CR(PE),2007,2000
"",Millepora boschmai,,CR(PE),2008,early 1990s
"",,,,,
"",MOLLUSCS (Bivalves),,,,
"",Aspatharia divaricata,,CR(PE),2016,1898
"",Coelatura rothschildi,,CR(PE),2016,1980s
"",Cuneopsis demangei,,CR(PE),2010,1929
"",Dreissena caspia,,CR(PE),2011,1980
"",Epioblasma othcaloogensis,Southern Acron Riffle Shell,CR(PE),2012,1974
"",Eupera crassa,,CR(PE),2016,1954
"",Lamprotula crassa,,CR(PE),2010,1990s
"",Lamprotula liedtkei,,CR(PE),2010,?
"",Lamprotula nodulosa,,CR(PE),2010,?
"",Obovaria haddletoni,Haddleton Lampmussel,CR(PE),2012,about 1970
"",Pisidium betafoense,,CR(PE),2016,1949
"",Pleurobema curtum,Black Clubshell,CR(PE),2012,1990s
"",,,,,
"",MOLLUSCS (Gastropods),,,,
"",Aaadonta angaurana,,CR(PE),2011,1936
"",Aaadonta kinlochi,,CR(PE),2011,2003 (dead)
"",Aaadonta pelewana,,CR(PE),2011,?
"",Alzoniella galaica,,CR(PE),2009,?
"",Beddomeia tumida,,CR(PE),2011,before 1889
"",Belgrandia moitessieri,,CR(PE),2009,?
"",Belgrandia varica,,CR(PE),2009,1870
"",Belgrandiella boetersi,,CR(PE),2010,?
"",Belgrandiella cavernica,,CR(PE),2013,1957
"",Belgrandiella kreisslorum,,CR(PE),2010,1981
"",Belgrandiella multiformis,,CR(PE),2009,?
"",Bellamya phthinotropis,,CR(PE),2015,1954
"",Bulimulus achatellinus,,CR(PE),2003,1980s
"",Bulimulus adelphus,,CR(PE),2003,?
"",Bulimulus deridderi,,CR(PE),2003,?
"",Bulimulus duncanus,,CR(PE),2003,before 1893
"",Bulimulus eos,,CR(PE),2003,?
"",Bulimulus lycodus,,CR(PE),2003,?
"",Bulimulus saeronius,,CR(PE),2003,?
"",Bulimulus sp. nov. 'josevillani',,CR(PE),2003,?
"",Bulimulus sp. nov. 'krameri',,CR(PE),2003,?
"",Bulimulus sp. nov. 'nilsodhneri',,CR(PE),2003,?
